Luis Miguel Carrero Cardenas,THE COMPLETE GUIDE TO BECOMING A SOFTWARE ARCHITECT,155.90
Enrique Lerma Castellanos,DESIGN MICROSERVICES ARCHITECTURE WITH PATTERNS & PRINCIPLES,145.90
Octavio Orozco Muñiz,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Clemente Loya Santillán,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Isaias Crespo Sandoval,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Diego Laureano de Alvarado,THE COMPLETE GUIDE TO BECOMING A SOFTWARE ARCHITECT,155.90
Isaac Colón Llamas,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Lilia Chapa Alcala,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Diego Meléndez de Velásquez,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Francisco Javier Tejada Yago,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
David Kortajarena Velázquez,THE COMPLETE GUIDE TO BECOMING A SOFTWARE ARCHITECT,155.90
Irene Ybarra Haro,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Juan Manuel Córdova Casas,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
José Malave Espinosa,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Aarón Córdova Nájera,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Daniel Segovia Caldera,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Julio Robles Quintana,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Julia Santana Ulloa,DESIGN MICROSERVICES ARCHITECTURE WITH PATTERNS & PRINCIPLES,145.90
Rodrigo Jimínez Calderón,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Armando Rocha Ferrer,THE COMPLETE GUIDE TO BECOMING A SOFTWARE ARCHITECT,155.90
Felipe Quezada Angulo,DESIGN MICROSERVICES ARCHITECTURE WITH PATTERNS & PRINCIPLES,145.90
Ana Victoria Sotelo Barajas,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Elías Mata Ybarra,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Carlos Velásquez Robles,THE COMPLETE GUIDE TO BECOMING A SOFTWARE ARCHITECT,155.90
Elías Fonseca Salgado,THE COMPLETE GUIDE TO BECOMING A SOFTWARE ARCHITECT,155.90
Nicolás Bahena de Matos,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Germán Tapia Romo,THE COMPLETE GUIDE TO BECOMING A SOFTWARE ARCHITECT,155.90
Cristian Barajas Porras,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Guillermina Jaime Yanes,DESIGN MICROSERVICES ARCHITECTURE WITH PATTERNS & PRINCIPLES,145.90
Alan Malave Sanabria,DESIGN MICROSERVICES ARCHITECTURE WITH PATTERNS & PRINCIPLES,145.90
Patricio Rodríguez Ávila,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Blanca Castellanos Adorno,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Marcos Barajas de Dávila,THE COMPLETE GUIDE TO BECOMING A SOFTWARE ARCHITECT,155.90
Óscar Saldaña Gurule,THE COMPLETE GUIDE TO BECOMING A SOFTWARE ARCHITECT,155.90
Alexander Meraz Carrillo,DESIGN MICROSERVICES ARCHITECTURE WITH PATTERNS & PRINCIPLES,145.90
Axel Lugo Barrientos,DESIGN MICROSERVICES ARCHITECTURE WITH PATTERNS & PRINCIPLES,145.90
Jesús López Salcedo,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Brayan Treviño Murillo,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Rafael Ocasio Marín,THE COMPLETE GUIDE TO BECOMING A SOFTWARE ARCHITECT,155.90
Miranda Cabán Tijerina,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Guillermo Carvajal Rosas,THE COMPLETE GUIDE TO BECOMING A SOFTWARE ARCHITECT,155.90
Mateo Bétancourt Delgado,SOFTWARE ARCHITECTURE & TECHNOLOGY OF LARGE-SCALE SYSTEMS,145.90
Erick Caraballo de Orellana,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Rubén Castro Valles,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Vicente Cortés Rosales,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Antonia Alcántar Sarabia,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Ramón Juárez Vaca,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
Mariano Pichardo Pizarro,HOW TO BECOME AN OUTSTANDING SOLUTION ARCHITECT,135.90
